,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tekeli,54,KZ,1563660777,38,44.86,78.76,70.36,4.59
1,Georgetown,40,GY,1563660519,78,6.8,-58.16,82.4,9.17
2,Longyearbyen,75,NO,1563660475,87,78.22,15.63,42.8,8.05
3,Hermanus,100,ZA,1563660489,82,-34.42,19.24,46.99,11.01
4,Harboore,88,DK,1563660781,93,56.62,8.18,63.0,3.36
5,Provideniya,100,RU,1563660522,88,64.42,-173.23,51.82,4.63
6,Barrow,100,AR,1563660479,84,-38.31,-60.23,57.22,12.26
7,Okato,100,NZ,1563660784,69,-39.19,173.88,57.0,5.01
8,Katsuura,75,JP,1563660467,94,33.93,134.5,79.0,20.8
9,Ponta do Sol,61,BR,1563660487,64,-20.63,-46.0,60.28,5.23
10,Jamestown,2,AU,1563660353,97,-33.21,138.6,44.98,7.0
11,Yellowknife,75,CA,1563660336,49,62.45,-114.38,69.8,9.17
12,Ahipara,33,NZ,1563660790,100,-35.17,173.16,51.01,11.79
13,Albany,75,US,1563660394,52,42.65,-73.75,95.0,8.05
14,Ushuaia,0,AR,1563660406,64,-54.81,-68.31,35.6,11.41
15,Zwedru,100,LR,1563660793,97,6.07,-8.13,71.98,4.21
16,Thompson,40,CA,1563660497,34,55.74,-97.86,68.0,10.29
17,Bluff,20,AU,1563660466,83,-23.58,149.07,54.34,9.57
18,Portel,54,BR,1563660510,64,-1.94,-50.82,82.6,2.89
19,Alyangula,31,AU,1563660797,100,-13.85,136.42,51.8,6.93
20,Butaritari,33,KI,1563660469,68,3.07,172.79,84.4,5.99
21,Bredasdorp,79,ZA,1563660477,86,-34.53,20.04,46.99,9.17
22,Pisco,0,PE,1563660584,30,-13.71,-76.2,71.6,9.17
23,Starkville,20,US,1563660712,83,33.45,-88.82,77.0,5.21
24,Bendigo,100,AU,1563660803,61,-36.76,144.28,46.99,10.38
25,Chuy,4,UY,1563660484,91,-33.69,-53.46,61.0,6.62
26,Klaksvik,100,FO,1563660492,100,62.23,-6.59,51.8,8.05
27,Mataura,82,NZ,1563660469,98,-46.19,168.86,46.99,2.19
28,Castro,90,CL,1563660351,100,-42.48,-73.76,41.0,6.93
29,Lagoa,0,PT,1563660504,42,37.14,-8.45,84.2,14.99
30,Berlevag,0,NO,1563660591,80,70.86,29.09,52.9,4.09
31,Valenca do Piaui,32,BR,1563660811,55,-6.41,-41.75,76.3,3.89
32,Cidreira,0,BR,1563660465,78,-30.17,-50.22,61.72,7.7
33,Mudgee,0,AU,1563660531,92,-32.6,149.59,32.0,1.21
34,Busselton,100,AU,1563660468,63,-33.64,115.35,57.99,27.63
35,La Ronge,40,CA,1563660815,49,55.1,-105.3,68.0,8.05
36,Hoskote,40,IN,1563660816,100,13.07,77.79,71.6,13.87
37,Airai,0,TL,1563660521,63,-8.93,125.41,65.68,3.87
38,Rock Springs,75,US,1563660819,14,41.59,-109.2,80.6,3.36
39,Faanui,12,PF,1563660542,73,-16.48,-151.75,77.38,13.15
40,Sahuaripa,95,MX,1563660821,48,29.05,-109.23,89.62,3.18
41,San Patricio,50,PY,1563660561,81,-26.98,-56.83,71.26,7.65
42,Rancho Veloz,75,CU,1563660823,83,22.88,-80.39,75.2,12.75
43,Rikitea,65,PF,1563660467,47,-23.12,-134.97,67.12,6.85
44,Saint-Pierre,0,FR,1563660520,72,48.95,4.24,73.4,8.05
45,Carnarvon,27,ZA,1563660506,61,-30.97,22.13,36.16,12.73
46,Kattivakkam,20,IN,1563660828,83,13.22,80.32,84.2,5.68
47,Keta,40,GH,1563660829,88,5.92,0.99,78.8,11.41
48,Pevek,91,RU,1563660518,94,69.7,170.27,32.38,4.05
49,Hilo,40,US,1563660460,58,19.71,-155.08,84.99,12.75
50,Troutdale,20,US,1563660832,32,45.53,-122.39,86.0,13.87
51,Upernavik,100,GL,1563660462,93,72.79,-56.15,43.54,12.35
52,Zheleznodorozhnyy,20,RU,1563660668,88,55.75,38.0,64.0,6.71
53,Venice,86,US,1563660703,83,27.1,-82.45,90.0,12.75
54,Kapaa,90,US,1563660459,66,22.08,-159.32,86.0,12.75
55,Geraldton,75,CA,1563660499,56,49.72,-86.95,69.8,4.7
56,Port Alfred,31,ZA,1563660478,88,-33.59,26.89,46.99,4.0
57,Hobart,75,AU,1563660473,66,-42.88,147.33,51.01,10.29
58,Punta Arenas,75,CL,1563660459,74,-53.16,-70.91,37.4,12.75
59,Belyy Yar,40,RU,1563660842,93,53.6,91.39,51.8,2.24
60,Bethel,90,US,1563660499,82,60.79,-161.76,55.4,10.29
61,Kahului,40,US,1563660464,55,20.89,-156.47,87.8,27.51
62,Kaili,0,ID,1563660845,88,-3.46,120.21,58.84,3.27
63,Muros,20,ES,1563660847,93,42.77,-9.06,66.99,4.7
64,Comodoro Rivadavia,0,AR,1563660504,54,-45.87,-67.48,46.4,5.82
65,Hithadhoo,91,MV,1563660462,78,-0.6,73.08,82.78,13.76
66,Isangel,20,VU,1563660495,119,-19.55,169.27,73.4,11.41
67,Qaanaaq,97,GL,1563660510,81,77.48,-69.36,41.92,2.51
68,Saint-Georges,27,CA,1563660770,60,46.12,-70.67,88.0,3.0
69,Paamiut,0,GL,1563660853,93,61.99,-49.67,42.64,15.68
70,Kalynivka,0,UA,1563660855,72,50.23,30.23,69.01,4.47
71,Port Lincoln,0,AU,1563660856,67,-34.72,135.86,57.04,24.07
72,Iida,100,JP,1563660857,97,35.45,137.9,75.0,2.73
73,Daru,80,PG,1563660858,86,-9.07,143.21,71.62,7.07
74,Yulara,0,AU,1563660523,74,-25.24,130.99,44.6,4.7
75,Yar-Sale,40,RU,1563660575,75,66.83,70.83,61.54,4.61
76,Clearlake,1,US,1563660844,39,38.96,-122.63,89.01,5.82
77,Khalkhal,0,IR,1563660863,55,37.62,48.53,59.02,5.95
78,East London,7,ZA,1563660474,85,-33.02,27.91,43.18,8.1
79,Cape Town,0,ZA,1563660258,81,-33.93,18.42,48.99,5.82
80,Nikolskoye,100,RU,1563660489,87,59.7,30.79,63.0,6.71
81,Villa de San Francisco,40,HN,1563660867,57,14.18,-86.95,77.0,6.93
82,Mahebourg,75,MU,1563660495,88,-20.41,57.7,70.0,3.36
83,Vaini,100,IN,1563660469,91,15.34,74.49,77.56,7.2
84,Palmer,0,AU,1563660538,85,-34.85,139.16,53.01,4.0
85,Port Elizabeth,1,US,1563660485,66,39.31,-74.98,98.01,10.49
86,New Norfolk,75,AU,1563660459,66,-42.78,147.06,51.01,10.29
87,Lebu,40,ET,1563660460,87,8.96,38.73,55.4,4.7
88,Cabo San Lucas,40,MX,1563660430,54,22.89,-109.91,88.0,18.34
89,Chimore,100,BO,1563660875,79,-16.98,-65.13,73.6,3.78
90,Dolores,99,UY,1563660877,77,-33.53,-58.22,68.0,4.0
91,Necochea,100,AR,1563660475,89,-38.55,-58.74,57.0,14.0
92,Arraial do Cabo,40,BR,1563660512,77,-22.97,-42.02,68.0,16.11
93,Port Blair,93,IN,1563660880,82,11.67,92.75,80.98,10.69
94,Chokurdakh,100,RU,1563660501,79,70.62,147.9,41.56,15.55
95,Caravelas,37,BR,1563660499,76,-17.73,-39.27,71.62,13.58
96,Saint-Philippe,1,CA,1563660478,62,45.36,-73.48,89.01,11.41
97,Clyde River,90,CA,1563660525,100,70.47,-68.59,39.2,10.29
98,Charters Towers,0,AU,1563660567,92,-20.07,146.27,50.02,2.93
99,Pastos Bons,39,BR,1563660887,46,-6.6,-44.09,81.34,5.79
100,Tuatapere,100,NZ,1563660889,98,-46.13,167.69,48.0,8.01
101,Saint-Louis,0,SN,1563660890,83,16.03,-16.5,78.8,6.93
102,Fortuna,1,US,1563660891,72,40.6,-124.16,64.99,10.29
103,Atuona,0,PF,1563660892,78,-9.8,-139.03,79.72,12.15
104,Sao Filipe,46,CV,1563660893,81,14.9,-24.5,72.88,18.52
105,Axim,93,GH,1563660894,90,4.87,-2.24,76.3,9.89
106,Along,100,IN,1563660895,95,28.17,94.8,61.0,1.39
107,Kantunilkin,40,MX,1563660897,62,21.1,-87.49,89.6,11.41
108,Risor,100,NO,1563660898,92,58.72,9.23,61.0,2.73
109,Kinwat,94,IN,1563660899,83,19.62,78.2,78.82,6.64
110,Sinnamary,94,GF,1563660900,76,5.38,-52.96,82.24,15.21
111,Atar,97,MR,1563660901,21,20.52,-13.05,98.8,3.91
112,Lorengau,89,PG,1563660902,80,-2.02,147.27,80.44,8.95
113,Sitka,0,US,1563660904,31,37.17,-99.65,102.0,18.99
114,San Carlos,100,NI,1563660905,60,11.12,-84.78,78.01,13.0
115,Dikson,67,RU,1563660906,99,73.51,80.55,44.62,17.52
116,North Platte,90,US,1563660907,73,41.12,-100.77,75.2,16.11
117,Batemans Bay,0,AU,1563660908,72,-35.71,150.18,46.0,1.99
118,Oum Hadjer,99,TD,1563660909,62,13.3,19.7,82.96,14.36
119,Esperance,90,AU,1563660911,87,-33.86,121.89,53.6,14.99
120,Kavieng,100,PG,1563660912,75,-2.57,150.8,83.86,17.31
121,Teya,40,MX,1563660913,50,21.05,-89.07,95.0,11.41
122,Narsaq,40,GL,1563660914,58,60.91,-46.05,59.0,14.99
123,Komsomolskiy,98,RU,1563660915,82,67.55,63.78,56.32,7.25
124,Souillac,0,FR,1563660917,83,45.6,-0.6,73.99,6.93
125,Morros,75,BR,1563660918,94,-2.87,-44.04,75.2,3.36
126,Inirida,75,CO,1563660919,91,3.87,-67.92,80.26,3.6
127,Todos Santos,40,MX,1563660920,48,23.45,-110.23,88.0,17.22
128,Wahiawa,40,US,1563660692,61,21.5,-158.02,87.8,10.29
129,Yanacancha,80,PE,1563660922,49,-10.53,-76.18,49.66,8.32
130,Saskylakh,11,RU,1563660923,56,71.97,114.09,61.54,6.26
131,Acapulco,75,MX,1563660925,66,16.86,-99.88,87.8,11.41
132,Kysyl-Syr,0,RU,1563660926,68,63.9,122.77,54.34,1.92
133,Aykhal,0,RU,1563660927,50,65.95,111.51,57.2,1.3
134,Havoysund,0,NO,1563660928,66,71.0,24.66,55.4,4.7
135,Benavente,38,ES,1563660929,68,42.0,-5.67,75.0,6.93
136,Mar del Plata,26,AR,1563660930,48,-46.43,-67.52,41.38,9.35
137,Bambous Virieux,75,MU,1563660932,88,-20.34,57.76,70.0,3.36
138,Ribeira Grande,0,PT,1563660933,82,38.52,-28.7,72.7,17.0
139,Torbay,75,CA,1563660934,81,47.66,-52.73,53.01,12.75
140,Kungurtug,85,RU,1563660935,88,50.6,97.53,45.52,1.9
141,Khatanga,0,RU,1563660936,58,71.98,102.47,65.68,9.42
142,Constitucion,75,MX,1563660937,33,23.99,-104.67,79.0,8.05
143,Sur,4,OM,1563660938,81,22.57,59.53,76.66,14.03
144,Devon,75,CA,1563660940,73,53.36,-113.73,75.0,5.82
145,Waipawa,35,NZ,1563660941,69,-39.94,176.59,53.01,5.01
146,Wexford,1,US,1563660681,70,40.63,-80.06,91.0,4.7
147,Xuddur,20,SO,1563660943,66,4.12,43.89,74.68,15.82
148,Saint George,20,GR,1563660903,56,39.45,22.34,78.01,2.21
149,Kaitangata,100,NZ,1563660945,91,-46.28,169.85,50.0,8.01
150,Sao Jose da Coroa Grande,68,BR,1563660947,94,-8.9,-35.15,70.36,6.49
151,Gushikawa,75,JP,1563660948,88,26.35,127.87,82.4,8.05
152,Solnechnyy,100,RU,1563660949,98,50.72,136.64,64.06,2.53
153,Griffith,0,AU,1563660950,75,-34.29,146.06,51.01,5.82
154,Whitehaven,40,US,1563660952,56,35.03,-90.03,93.99,8.05
155,Singaraja,11,ID,1563660953,75,-8.11,115.08,79.36,2.42
156,Hasaki,75,JP,1563660954,94,35.73,140.83,75.2,8.05
157,Mogadishu,41,SO,1563660955,82,2.04,45.34,75.04,12.06
158,Tsumeb,0,NA,1563660956,14,-19.25,17.72,60.28,8.95
159,Simbahan,97,PH,1563660957,77,6.3,120.58,81.52,3.58
160,Portage,75,US,1563660959,62,41.58,-87.18,96.8,18.34
161,Galeana,0,MX,1563660960,34,24.83,-100.08,77.02,8.1
162,Saint Anthony,1,US,1563660961,22,43.97,-111.68,82.4,13.87
163,Hofn,100,IS,1563660962,98,64.25,-15.21,40.3,4.52
164,San Jose,40,HN,1563660963,40,14.25,-87.96,89.6,12.75
165,Pringsewu,100,ID,1563660964,97,-5.36,104.98,71.26,1.45
166,Paka,93,CF,1563660966,96,4.15,15.03,68.74,2.01
167,Ucluelet,20,CA,1563660740,60,48.94,-125.55,79.0,8.05
168,Puerto Quijarro,20,BO,1563660968,54,-19.0,-57.72,84.2,10.29
169,Verkhnyaya Inta,66,RU,1563660969,79,65.99,60.32,61.0,6.91
170,Sabang,100,PH,1563660970,89,13.8,121.11,80.01,1.48
171,Padang,100,ID,1563660971,77,-0.92,100.36,81.16,4.05
172,Erdenet,77,MN,1563660972,77,49.03,104.04,55.6,2.44
173,Nome,40,US,1563660974,59,30.04,-94.42,95.0,12.75
174,Coronel Vivida,0,BR,1563660975,88,-25.98,-52.57,62.44,4.23
175,Beyneu,0,KZ,1563660976,29,45.32,55.19,85.84,11.27
176,Pospelikha,7,RU,1563660977,85,51.99,81.83,61.54,5.06
177,Texarkana,40,US,1563660978,55,33.44,-94.04,91.99,8.05
178,Coihaique,20,CL,1563660980,98,-45.58,-72.07,35.6,1.86
179,Kaeo,86,NZ,1563660981,100,-35.1,173.78,52.0,4.03
180,Cayenne,0,GF,1563660778,83,4.94,-52.33,80.6,4.7
181,Portland,1,US,1563660485,59,43.66,-70.25,93.2,9.17
182,Havelock,1,US,1563660881,55,34.88,-76.9,97.0,14.99
183,Catalca,0,TR,1563660925,78,41.14,28.46,75.99,9.17
184,Pasighat,100,IN,1563660986,96,28.06,95.33,71.62,1.86
185,Myitkyina,100,MM,1563660987,96,25.38,97.4,71.62,2.21
186,Talnakh,0,RU,1563660988,58,69.49,88.39,57.2,8.95
187,El Burrion,40,MX,1563660990,44,25.54,-108.41,97.0,16.11
188,Saldanha,0,PT,1563660991,47,41.42,-6.55,72.88,7.74
189,Calatayud,68,ES,1563660724,53,41.35,-1.64,82.4,15.64
190,Kokstad,12,ZA,1563660993,92,-30.55,29.42,26.08,4.16
191,Luderitz,0,NA,1563660994,72,-26.65,15.16,57.22,11.92
192,Avarua,7,CK,1563660995,60,-21.21,-159.78,73.4,6.93
193,Puerto Ayora,20,EC,1563660996,54,-0.74,-90.35,82.4,18.34
194,Black River,20,JM,1563660998,59,18.03,-77.85,89.6,18.34
195,Letlhakane,0,BW,1563660999,19,-21.42,25.59,54.52,7.74
196,Aguas Formosas,10,BR,1563661000,91,-17.08,-40.94,62.26,5.12
197,Sao Joaquim,0,BR,1563661001,99,-28.29,-49.93,61.0,3.0
198,Tooele,1,US,1563661002,27,40.53,-112.3,93.99,10.29
199,Arrifes,20,PT,1563661004,94,37.77,-25.7,71.6,4.7
200,Maumere,52,ID,1563661005,67,-8.63,122.22,71.08,2.75
201,Kodiak,40,US,1563661006,21,39.95,-94.76,98.01,9.17
202,San Quintin,100,PH,1563661007,89,17.54,120.52,75.58,3.33
203,Batagay-Alyta,93,RU,1563661008,46,67.8,130.41,53.62,5.08
204,Ixtapa,90,MX,1563661009,62,20.71,-105.21,88.0,9.17
205,Seymchan,90,RU,1563661011,70,62.93,152.39,45.88,6.13
206,Tromso,0,NO,1563661012,76,69.65,18.96,60.01,6.93
207,Husavik,31,CA,1563661013,61,50.56,-96.99,72.0,5.99
208,Te Anau,100,NZ,1563660858,94,-45.41,167.72,44.26,5.03
209,Port Hardy,40,CA,1563661015,87,50.7,-127.42,57.2,5.82
210,Batagay,100,RU,1563661016,49,67.65,134.64,53.26,5.93
211,Sai Buri,100,TH,1563661018,96,6.7,101.62,73.24,1.41
212,Plouzane,0,FR,1563661019,87,48.38,-4.62,62.01,2.24
213,Vanimo,19,PG,1563661020,80,-2.67,141.3,80.98,6.22
214,Ngunguru,36,NZ,1563661021,96,-35.62,174.5,51.01,3.0
215,El Progreso,87,GT,1563661022,76,14.36,-89.85,72.34,6.42
216,Okhotsk,0,RU,1563661023,55,59.36,143.24,56.68,20.51
217,Ilulissat,75,GL,1563660743,81,69.22,-51.1,50.0,4.7
218,Ullapool,4,GB,1563661026,82,57.9,-5.16,57.0,4.0
219,Vallenar,63,CL,1563661027,49,-28.58,-70.76,62.26,7.52
220,Fare,9,PF,1563661028,77,-16.7,-151.02,76.12,16.02
221,Shostka,16,UA,1563661029,84,51.86,33.47,61.36,3.02
222,Mount Gambier,40,AU,1563661030,87,-37.83,140.78,48.2,6.93
223,Pindiga,0,NG,1563661032,92,9.98,10.93,72.52,6.13
224,San Policarpo,30,PH,1563661033,87,12.18,125.51,78.28,4.21
225,Locri,5,IT,1563661034,69,38.24,16.26,77.0,3.36
226,Saraland,75,US,1563661035,78,30.82,-88.07,86.0,12.75
227,Huangzhai,88,CN,1563661036,88,23.86,112.01,78.1,0.34
228,Berberati,100,CF,1563661037,94,4.26,15.79,69.1,1.99
229,Rzhaksa,0,RU,1563661039,88,52.14,42.03,59.38,7.52
230,Mehamn,0,NO,1563661040,77,71.03,27.85,53.44,2.71
231,Arman,95,RU,1563661041,85,59.7,150.17,49.3,5.79
232,Ishigaki,75,JP,1563661042,94,24.34,124.16,82.4,11.41
233,Guerrero Negro,50,MX,1563661043,87,27.97,-114.04,65.32,17.56
234,Avera,20,US,1563661045,41,33.19,-82.53,93.2,3.36
235,Flinders,0,AU,1563661046,65,-34.58,150.85,59.0,4.7
236,Hyeres,28,FR,1563661047,88,43.12,6.14,78.01,3.36
237,Christchurch,97,NZ,1563660787,100,-43.53,172.64,53.01,19.46
238,Northam,75,AU,1563661049,93,-31.65,116.67,57.2,14.99
239,Los Llanos de Aridane,90,ES,1563661050,83,28.66,-17.92,73.4,13.87
240,Vila Velha,75,BR,1563661051,74,-3.71,-38.6,86.0,12.75
241,Quatre Cocos,20,MU,1563661053,88,-20.21,57.76,70.0,5.82
242,Pangody,33,RU,1563661054,86,65.85,74.49,67.12,7.63
243,Zanjan,0,IR,1563661055,55,36.67,48.48,63.88,3.44
244,Tuktoyaktuk,75,CA,1563661056,72,69.44,-133.03,62.6,10.29
245,Namibe,96,AO,1563661057,87,-15.19,12.15,69.46,5.06
246,Menongue,0,AO,1563661058,29,-14.66,17.68,52.18,3.47
247,Labuhan,0,ID,1563661060,95,-2.54,115.51,70.36,1.77
248,Duluth,1,US,1563661061,31,46.77,-92.13,80.01,10.29
249,Dingle,36,PH,1563661062,89,11.0,122.67,74.5,2.1
250,Codrington,90,AU,1563661063,93,-28.95,153.24,55.99,6.93
251,Tiksi,5,RU,1563661064,75,71.64,128.87,44.26,10.18
252,Lima,90,PE,1563661065,77,-12.06,-77.04,64.4,6.93
253,Moba,0,CD,1563661067,65,-7.04,29.77,60.46,3.33
254,devin,0,IT,1563661068,78,45.71,7.68,78.01,4.7
255,Oktyabrskoye,40,RU,1563661069,100,56.73,85.44,55.99,6.71
256,Zaqatala,40,AZ,1563661070,57,41.63,46.65,78.8,6.93
257,Pangnirtung,79,CA,1563661071,59,66.15,-65.72,57.04,6.58
258,Diffa,0,NE,1563660788,35,13.32,12.61,91.24,10.31
259,Balingasay,100,PH,1563661074,77,16.36,119.86,84.4,11.25
260,Jorochito,75,BO,1563661075,54,-18.06,-63.43,84.2,19.46
261,Lazaro Cardenas,40,MX,1563661076,19,28.39,-105.62,95.0,13.87
262,Anchorage,90,US,1563660887,68,61.22,-149.89,69.01,8.05
263,Saint-Augustin,90,CA,1563661078,79,45.63,-73.98,89.01,5.82
